date,股票代码,open,close,high,low,volume,amount,振幅,涨跌幅,涨跌额,换手率,amplitude,pct_change,change,turnover
2025-12-08,300169,6.4,6.44,6.58,6.38,100745,65171007.0,3.14,1.1,0.07,3.34,,,,
2025-12-09,300169,6.45,6.4,6.48,6.33,73716,47142625.0,2.33,-0.62,-0.04,2.44,,,,
2025-12-10,300169,6.38,6.57,6.58,6.36,135614,88115338.0,3.44,2.66,0.17,4.49,,,,
2025-12-11,300169,6.55,6.27,6.61,6.27,111295,71475208.0,5.18,-4.57,-0.3,3.69,,,,
2025-12-12,300169,6.29,6.24,6.45,6.2,99702,63170697.0,3.99,-0.48,-0.03,3.3,,,,
2025-12-15,300169,6.21,6.51,6.78,6.16,218527,141599435.0,9.94,4.33,0.27,7.24,,,,
2025-12-16,300169,6.42,6.28,6.5,6.27,133143,84420696.0,3.53,-3.53,-0.23,4.41,,,,
2025-12-17,300169,6.29,6.2,6.34,6.01,144313,88386793.0,5.25,-1.27,-0.08,4.78,,,,
2025-12-18,300169,6.21,6.17,6.28,6.16,70136,43677188.0,1.94,-0.48,-0.03,2.32,,,,
2025-12-19,300169,6.13,6.18,6.22,6.01,116312,71242013.0,3.4,0.16,0.01,3.85,,,,
2025-12-22,300169,6.18,6.2,6.25,6.16,70629,43898003.0,1.46,0.32,0.02,2.34,,,,
2025-12-23,300169,6.18,6.07,6.2,6.04,75769,46119701.0,2.58,-2.1,-0.13,2.51,,,,
2025-12-24,300169,6.06,6.2,6.23,6.06,78817,48707885.0,2.8,2.14,0.13,2.61,,,,
2025-12-25,300169,6.27,6.36,6.38,6.16,117774,74020515.0,3.55,2.58,0.16,3.9,,,,
2025-12-26,300169,6.35,6.25,6.4,6.23,94564,59678307.0,2.67,-1.73,-0.11,3.13,,,,
2025-12-29,300169,6.26,6.29,6.41,6.23,71562,45126298.0,2.88,0.64,0.04,2.37,,,,
2025-12-30,300169,6.26,6.26,6.36,6.21,74322,46800811.0,2.38,-0.48,-0.03,2.46,,,,
2025-12-31,300169,6.27,6.25,6.29,6.1,110355,68302925.0,3.04,-0.16,-0.01,3.66,,,,
2026-01-05,300169,6.27,6.3,6.35,6.24,105981,66641396.0,1.76,0.8,0.05,3.51,,,,
2026-01-06,300169,6.3,6.34,6.37,6.25,149301,94437118.0,1.9,0.63,0.04,4.95,,,,
2026-01-07,300169,6.33,6.19,6.33,6.15,138523,86122176.0,,,,,2.84,-2.37,-0.15,4.59
2026-01-08,300169,6.25,6.4,6.45,6.25,104704,66769798.0,,,,,3.23,3.39,0.21,3.47
