date,股票代码,open,close,high,low,volume,amount,振幅,涨跌幅,涨跌额,换手率
2024-11-25,300658,5.45,5.67,5.69,5.45,81859,46315292.0,4.38,3.47,0.19,3.63
2024-11-26,300658,5.63,5.66,5.75,5.61,77382,44423814.0,2.47,-0.18,-0.01,3.43
2024-11-27,300658,5.61,5.67,5.68,5.42,78763,44178626.0,4.59,0.18,0.01,3.49
2024-11-28,300658,5.67,5.84,5.89,5.67,109775,64202558.0,3.88,3.0,0.17,4.87
2024-11-29,300658,5.86,5.84,5.9,5.75,116043,68497300.0,2.57,0.0,0.0,5.15
2024-12-02,300658,5.86,5.98,6.0,5.83,115113,69236371.0,2.91,2.4,0.14,5.11
2024-12-03,300658,5.98,6.24,6.27,5.97,204559,126662629.0,5.02,4.35,0.26,9.08
2024-12-04,300658,6.14,6.02,6.17,5.95,142731,86981020.0,3.53,-3.53,-0.22,6.33
2024-12-05,300658,6.0,6.02,6.02,5.93,94014,56817875.0,1.5,0.0,0.0,4.17
2024-12-06,300658,6.02,6.04,6.07,5.96,73194,44583095.0,1.83,0.33,0.02,3.25
2024-12-09,300658,6.04,6.07,6.08,5.98,66406,40470818.0,1.66,0.5,0.03,2.95
2024-12-10,300658,6.24,6.05,6.31,6.03,72982,45213755.0,4.61,-0.33,-0.02,3.24
2024-12-11,300658,6.04,6.13,6.16,6.0,59947,37015859.0,2.64,1.32,0.08,2.66
2024-12-12,300658,6.15,6.27,6.27,6.12,118232,74059317.0,2.45,2.28,0.14,5.25
2024-12-13,300658,6.24,6.16,6.29,6.14,66115,41405543.0,2.39,-1.75,-0.11,2.93
2024-12-16,300658,6.16,6.21,6.33,6.15,87122,55000881.0,2.92,0.81,0.05,3.87
2024-12-17,300658,6.2,5.82,6.22,5.77,105693,63267781.0,7.25,-6.28,-0.39,4.69
2024-12-18,300658,5.86,5.8,5.94,5.61,78803,46151116.0,5.67,-0.34,-0.02,3.5
2024-12-19,300658,5.73,5.73,5.81,5.64,59256,34155801.0,2.93,-1.21,-0.07,2.63
2024-12-20,300658,5.74,5.84,5.9,5.72,54585,32206324.0,3.14,1.92,0.11,2.42
2024-12-23,300658,5.8,5.32,5.86,5.31,98534,54734083.0,9.42,-8.9,-0.52,4.37
2024-12-24,300658,5.34,5.37,5.49,5.23,64353,34696285.0,4.89,0.94,0.05,2.86
2024-12-25,300658,5.33,5.21,5.36,5.08,73064,38333542.0,5.21,-2.98,-0.16,3.24
2024-12-26,300658,5.17,5.21,5.31,5.17,48092,25534665.0,2.69,0.0,0.0,2.13
2024-12-27,300658,5.23,5.32,5.4,5.21,58272,31441779.0,3.65,2.11,0.11,2.59
2024-12-30,300658,5.27,5.23,5.34,5.09,59219,31188555.0,4.7,-1.69,-0.09,2.63
2024-12-31,300658,5.23,5.12,5.31,5.11,49409,26024572.0,3.82,-2.1,-0.11,2.19
2025-01-02,300658,5.12,5.09,5.3,5.05,52337,27394582.0,4.88,-0.59,-0.03,2.32
2025-01-03,300658,5.15,4.85,5.17,4.84,62030,31077919.0,6.48,-4.72,-0.24,2.75
2025-01-06,300658,4.87,4.82,4.94,4.57,52062,25275839.0,7.63,-0.62,-0.03,2.31
2025-01-07,300658,4.86,5.0,5.0,4.82,44950,22311839.0,3.73,3.73,0.18,1.99
2025-01-08,300658,5.0,4.98,5.05,4.81,51615,25897402.0,4.8,-0.4,-0.02,2.29
2025-01-09,300658,4.95,5.0,5.04,4.92,36665,18551541.0,2.41,0.4,0.02,1.63
2025-01-10,300658,4.99,4.79,5.02,4.78,45283,22444139.0,4.8,-4.2,-0.21,2.01
2025-01-13,300658,4.76,4.8,4.82,4.63,50879,24379792.0,3.97,0.21,0.01,2.26
2025-01-14,300658,4.84,5.07,5.07,4.84,50594,25516566.0,4.79,5.63,0.27,2.24
2025-01-15,300658,5.08,5.09,5.16,5.02,44506,22919739.0,2.76,0.39,0.02,1.97
